Student ID,Section,Pre-test: Overall,Pre-test: Information and data literacy,Pre-test: Communication and collaboration,Pre-test: Digital content creation,Pre-test: Safety,Pre-test: Problem solving,Post-test: Overall,Post-test: Information and data literacy,Post-test: Communication and collaboration,Post-test: Digital content creation,Post-test: Safety,Post-test: Problem solving,Attendance,Reflections,Assignments,Final test,Final project,Overall
119,001,2,3,2,2,1,4,5,6,5,3,4,6,19,18.1,27.3,7.5,14.5,86.4
146,001,6,6,5,5,6,6,,,,,,,8,16.3,29.1,7.6,14.5,75.5
136,001,3,4,2,3,4,3,6,6,6,6,6,6,16,18.1,24.3,6.6,10.3,75.3
111,001,2,2,2,2,1,1,,,,,,,16,20,24.3,5.6,9.7,75.6
171,001,3,4,3,4,1,2,2,2,3,1,2,2,16,16.3,24,5.3,9.7,71.3
130,001,4,4,3,4,3,5,4,4,3,4,5,4,11,16.3,27.3,8,19.7,82.3
147,001,6,6,6,5,6,6,6,6,6,6,6,6,20,20,26.2,6,12.1,84.3
160,001,6,6,6,5,6,6,6,6,6,6,6,6,19,20,27,6.3,13.5,85.8
129,001,2,3,3,1,2,2,6,6,6,4,6,6,20,16.3,27,5.3,12.5,81.1
131,001,4,3,4,5,3,5,4,5,4,3,5,3,19,18.1,25.4,8,12.5,83
133,001,3,2,4,3,1,3,,,,,,,5,18.1,24,6,8.9,62
117,001,3,3,3,3,3,3,,,,,,,11,18.1,21,6.3,10.6,67
164,001,4,5,2,2,5,4,,,,,,,3,18.1,21.8,5.3,10.6,58.8
169,001,4,4,5,3,3,5,5,5,5,5,4,6,20,20,28.6,7.3,15.8,91.7
184,001,4,6,5,2,4,4,,,,,,,15,14.5,17.5,6.6,5.6,59.2
192,001,4,5,3,5,4,5,5,6,5,4,6,6,18,18.1,27,6.3,12.5,81.9
167,001,3,3,3,3,1,3,3,1,3,4,5,4,19,14.5,22.9,6,8.9,71.3
183,001,2,2,2,2,3,2,3,3,4,4,4,2,20,20,27.8,7.3,15.8,90.9
107,001,4,5,3,3,3,4,,,,,,,20,18.1,25.9,6,16.7,86.7
148,001,5,5,4,5,4,6,6,6,6,5,5,6,16,20,27.2,8.3,17.7,89.2
155,001,5,6,5,4,6,5,6,6,6,4,6,6,16,18.1,28.6,8.3,16.7,87.7
158,001,3,2,3,2,4,3,,,,,,,20,15.4,18.1,2.3,14.3,70.1
182,001,,2,1,2,1,,,,,,,,0,2.7,1.3,0,0,4
101,001,5,5,5,5,5,5,6,6,6,6,6,6,11,14.5,28.6,7.6,19.7,81.4
113,001,1,2,1,2,1,1,3,2,2,5,3,4,20,18.1,28.6,7.3,15.3,89.3
118,001,5,6,4,3,6,5,6,6,6,5,6,6,19,16.3,27.2,7.1,17.7,87.3
187,001,5,5,5,4,5,4,,,,,,,7,8.1,18.1,6.6,6,45.8
127,001,,,,,,,4,5,5,3,4,4,11,10.9,14,8,15.3,59.2
108,001,5,3,5,6,4,5,6,6,6,6,6,6,0,16.3,12.7,7.6,2.6,39.2
116,001,6,6,6,4,6,6,5,6,5,6,4,5,16,20,26.2,6.3,13.5,82
137,001,6,6,6,6,5,6,5,6,5,3,6,5,16,16.3,26.2,4.1,12.1,74.7
156,001,3,2,4,3,4,3,2,3,1,2,2,3,19,16.3,24.5,4.6,12.1,76.5
185,001,6,6,6,6,6,6,,,,,,,14,18.1,20.8,0,10.1,63
161,001,5,5,5,6,3,5,,,,,,,19,20,28.9,8,15.3,91.2
196,001,6,6,6,6,6,6,6,6,6,5,6,6,19,20,29.4,7.3,15.3,91
109,002,5,5,5,4,6,5,,,,,,,4,8.1,8.6,3.3,11.3,35.3
126,002,2,2,3,1,5,1,,,,,,,11,18.1,18.9,8.3,8,64.3
166,002,,,,,,,,,,,,,5,16.3,17.5,7.5,8,54.3
170,002,2,4,2,2,1,3,2,2,1,1,3,2,13,18.1,29.4,5.6,13.6,79.7
120,002,4,3,4,5,4,4,5,5,5,4,5,6,19,16.3,28.6,8,13.7,85.6
157,002,5,6,5,4,6,6,5,5,5,6,3,5,7,16.3,27.7,8.3,11.7,71
163,002,,,,,,,,,,,,,0,16.3,16.9,0,12.7,45.9
191,002,3,4,4,3,2,4,,,,,,,18,18.1,24.4,6,8.7,75.2
135,002,3,5,4,3,1,4,4,4,4,3,3,4,14,18.1,23.3,7,8.7,71.1
181,002,3,3,4,3,4,3,4,5,4,4,5,4,20,20,29.7,6.3,17.7,93.7
178,002,3,2,2,4,2,4,5,4,6,6,4,6,19,18.1,27.3,7.6,11.4,83.4
195,002,4,5,4,3,4,4,4,5,4,5,4,4,20,18.1,28.9,8.3,15,90.3
145,002,2,2,2,3,1,3,6,5,5,6,6,6,19,20,27.3,6.6,11.4,84.3
139,002,3,4,3,3,3,4,5,5,3,5,5,5,20,18.1,27.5,7.6,15,88.2
176,002,4,4,4,4,3,4,5,6,6,4,5,5,19,20,27.3,8.3,11.4,86
112,002,4,3,4,4,3,4,4,5,4,4,4,4,20,20,30,9,17.7,96.7
193,002,2,2,1,1,5,3,,,,,,,0,8.1,6.4,0,0,14.5
103,002,5,6,5,3,6,4,5,4,5,5,4,5,19,20,29.7,8,16.5,93.2
141,002,1,2,1,1,1,1,5,6,5,5,4,5,20,18.1,25.9,4.3,9.6,77.9
189,002,5,6,5,2,6,4,6,6,6,6,5,6,20,16.3,22.1,5.6,9.6,73.6
123,002,4,3,4,4,5,4,3,2,3,3,5,3,20,16.3,28.1,6,15,85.4
134,002,2,2,2,4,1,3,6,6,6,6,6,6,19,12.7,28.1,7,19.7,86.5
153,002,4,5,3,2,5,3,5,5,5,5,4,5,16,18.1,25.2,6,9.6,74.9
102,002,6,6,6,6,4,6,6,6,6,5,6,6,13,18.1,29.7,7,16.5,84.3
104,002,5,6,5,5,5,6,4,4,4,3,3,4,19,18.1,27.3,5,19.7,89.1
188,002,4,5,4,4,4,4,,,,,,,1,9,8.3,7.3,5.8,31.4
159,002,3,2,3,5,2,3,6,6,6,6,6,6,16,16.3,26.5,4.5,19.7,83
115,002,4,5,5,5,3,4,4,5,4,4,1,5,20,18.1,22.7,6.3,14.2,81.3
125,002,4,6,5,3,4,4,6,6,6,5,6,6,20,14.5,29.4,7,13.6,84.5
174,002,6,6,6,6,4,6,6,6,6,4,6,6,20,20,29.4,8.3,13.6,91.3
121,002,4,3,4,4,3,5,4,3,5,3,5,4,20,20,29.2,6.3,13.7,89.2
124,002,6,6,6,6,6,6,6,6,6,6,6,6,16,19,22.7,6,14.2,77.9
142,002,3,3,3,2,3,2,,,,,,,10,10.9,26.4,6.6,11.7,65.6
172,002,3,3,5,1,5,2,6,6,6,6,6,6,14,16.3,26.2,6,11.7,74.2
175,002,5,3,4,5,5,6,6,6,6,6,6,6,16,14.5,23.5,3.6,14.2,71.8
154,002,5,6,5,6,4,6,6,6,6,6,5,6,14,14.5,20.5,6.6,10.7,66.3
186,003,4,4,5,4,4,5,,,,,,,20,20,25.4,6.3,11.2,82.9
177,003,6,6,6,6,6,6,6,6,6,6,6,6,14,20,18.6,7,12.7,72.3
138,003,3,3,4,5,1,4,5,6,5,4,5,6,20,19,25.2,7.3,12.7,84.2
194,003,3,3,3,3,3,3,,,,,,,0,0,0,0,0,0
198,003,4,4,4,3,3,5,4,5,4,3,4,3,20,20,26,7.3,12.7,86
128,003,3,3,3,2,3,3,,,,,,,16,16.3,23.5,6.3,10.1,72.2
179,003,3,5,3,2,2,2,3,2,5,2,3,3,16,14.5,24.5,1.8,10.1,66.9
168,003,5,4,4,5,6,4,5,5,5,4,5,5,15,16.3,19.8,7.3,6.2,64.6
149,003,1,1,2,1,2,1,2,3,2,2,1,1,9,9,18.3,7.1,5.5,48.9
143,003,4,3,4,2,5,4,4,5,3,4,4,5,20,18.1,30,7.3,19.2,94.6
190,003,3,3,4,4,1,4,3,2,3,3,5,4,20,20,28.9,7,17.1,93
114,003,4,5,4,4,4,5,6,5,6,6,6,6,11,17.2,24.9,7.6,16.1,76.8
173,003,3,5,1,4,2,4,2,1,1,1,2,3,11,7.2,13.7,6,5.5,43.4
105,003,4,5,2,3,4,5,,,,,,,9,9,4.6,8,0,30.6
162,003,4,5,4,4,4,3,4,5,2,3,4,4,14,14.5,24.5,8.6,17.1,78.7
140,003,4,5,4,3,4,3,3,3,3,1,3,4,16,16.3,16.4,5.3,6.2,60.2
144,003,6,5,5,6,6,6,6,6,6,5,6,6,20,20,30,8,19.2,97.2
150,003,5,5,5,5,3,5,4,4,3,4,5,3,20,18.1,28.1,7,16.2,89.4
106,003,4,2,5,5,3,3,6,6,6,6,6,6,20,17.2,29.4,4.6,16.1,87.3
132,003,2,4,3,1,1,3,2,2,2,1,2,2,16,13.6,19.1,4.3,7.3,60.3
180,003,3,3,3,1,3,3,5,5,5,6,2,6,4,20,24.6,6.6,14.3,69.5
199,003,,,,,,,1,1,1,2,1,2,13,9,23.5,5,0,50.5
152,003,3,5,3,1,5,2,5,5,5,4,5,5,16,14.5,26,5.3,14.3,76.1
122,003,3,3,3,1,5,3,5,6,5,4,5,6,19,17.5,28.7,8.3,14.3,87.8
165,003,5,6,5,5,3,4,5,6,6,3,6,6,20,20,29.1,7.6,16.2,92.9
197,003,3,2,4,3,3,4,4,5,3,4,6,4,20,18.1,29.4,6.3,16.1,89.9
110,003,4,5,2,3,6,4,3,2,3,4,5,3,11,10.9,25.9,8,14.5,70.3
151,003,4,4,4,3,6,5,3,2,3,4,5,3,10,10.9,25.1,7.3,14.5,67.8
